country,age,sex,married,size,type
American,34,Male,Married,Large,Family
Japanese,36,Male,Single,Small,Sporty
Japanese,23,Male,Married,Small,Family
American,29,Male,Single,Large,Family
American,39,Male,Married,Medium,Family
Japanese,34,Male,Single,Medium,Family
American,42,Female,Married,Large,Family
American,28,Male,Married,Medium,Sporty
American,26,Female,Married,Medium,Family
American,37,Female,Married,Medium,Sporty
Japanese,25,Male,Single,Small,Sporty
Japanese,27,Female,Single,Medium,Family
American,41,Male,Married,Large,Family
American,35,Male,Single,Small,Sporty
American,23,Male,Single,Medium,Work
Japanese,28,Male,Married,Small,Family
Japanese,25,Female,Married,Small,Family
Japanese,30,Male,Married,Medium,Family
American,36,Male,Married,Large,Family
Japanese,23,Male,Single,Small,Sporty
American,31,Female,Married,Medium,Sporty
Japanese,31,Female,Married,Small,Sporty
American,35,Male,Married,Small,Sporty
Japanese,25,Female,Married,Medium,Family
American,21,Male,Single,Small,Sporty
Japanese,27,Male,Married,Small,Work
American,35,Male,Married,Large,Work
Japanese,24,Male,Single,Medium,Sporty
American,29,Female,Single,Medium,Family
American,37,Male,Married,Small,Work
Japanese,25,Female,Married,Small,Sporty
American,24,Female,Married,Medium,Sporty
American,23,Female,Single,Small,Sporty
Japanese,25,Female,Single,Medium,Sporty
American,34,Male,Married,Medium,Family
Japanese,25,Male,Single,Small,Family
Japanese,31,Female,Married,Medium,Family
American,26,Male,Single,Medium,Sporty
Japanese,29,Female,Married,Small,Family
American,33,Male,Married,Medium,Family
Japanese,32,Female,Married,Medium,Family
Japanese,36,Male,Married,Small,Family
Japanese,32,Male,Single,Medium,Family
American,27,Male,Married,Small,Family
Japanese,28,Male,Married,Medium,Sporty
American,27,Male,Single,Large,Family
American,27,Female,Married,Large,Family
American,37,Male,Married,Large,Family
Japanese,31,Female,Single,Small,Work
Japanese,29,Male,Married,Small,Family
American,38,Male,Married,Medium,Family
Japanese,37,Male,Married,Medium,Family
Japanese,38,Male,Married,Small,Family
American,39,Male,Married,Large,Family
American,37,Female,Married,Large,Family
Japanese,36,Male,Single,Small,Work
Japanese,27,Male,Single,Small,Sporty
American,26,Male,Single,Large,Work
American,23,Female,Married,Medium,Family
Japanese,29,Female,Single,Small,Work
Japanese,40,Female,Married,Small,Work
Japanese,44,Male,Married,Small,Sporty
American,35,Male,Married,Small,Family
Japanese,30,Male,Married,Small,Family
American,27,Male,Married,Large,Work
American,24,Female,Single,Medium,Family
American,35,Female,Married,Medium,Family
Japanese,26,Female,Married,Small,Sporty
Japanese,32,Female,Married,Small,Work
Japanese,22,Male,Single,Medium,Family
American,25,Female,Married,Small,Family
Japanese,33,Male,Married,Medium,Family
American,37,Female,Married,Large,Family
Japanese,27,Male,Married,Small,Family
Japanese,38,Male,Married,Medium,Work
Japanese,25,Female,Single,Small,Sporty
Japanese,24,Male,Single,Small,Work
American,25,Male,Married,Small,Work
Japanese,28,Male,Married,Small,Sporty
Japanese,20,Male,Married,Small,Family
Japanese,25,Female,Married,Large,Work
Japanese,28,Male,Married,Medium,Sporty
Japanese,32,Female,Married,Small,Family
American,22,Male,Married,Medium,Family
Japanese,28,Male,Married,Medium,Family
Japanese,27,Female,Married,Medium,Family
Japanese,38,Male,Married,Medium,Sporty
Japanese,35,Male,Single,Small,Family
American,24,Female,Married,Medium,Sporty
American,27,Male,Married,Small,Sporty
American,40,Female,Single,Small,Work
Japanese,27,Female,Married,Small,Sporty
American,26,Male,Single,Medium,Sporty
Japanese,30,Male,Single,Small,Sporty
Japanese,23,Male,Single,Medium,Work
Japanese,28,Male,Married,Medium,Work
American,36,Male,Single,Medium,Sporty
Japanese,24,Female,Single,Small,Family
Japanese,60,Female,Single,Small,Family
American,24,Female,Single,Medium,Sporty
Japanese,30,Female,Married,Medium,Family
American,30,Male,Married,Small,Family
American,31,Male,Married,Medium,Family
American,28,Female,Married,Small,Family
Japanese,26,Male,Single,Small,Sporty
American,41,Female,Single,Large,Work
Japanese,25,Female,Single,Medium,Sporty
Japanese,31,Male,Single,Medium,Sporty
Japanese,30,Female,Married,Small,Sporty
American,34,Female,Married,Medium,Family
American,31,Male,Single,Large,Work
American,33,Male,Married,Large,Family
Japanese,33,Male,Married,Small,Work
Japanese,28,Female,Married,Small,Work
American,32,Female,Married,Small,Family
Japanese,39,Female,Married,Medium,Family
American,29,Female,Married,Large,Work
American,21,Female,Single,Medium,Family
American,29,Female,Married,Medium,Family
American,26,Female,Married,Medium,Family
Japanese,23,Female,Single,Small,Sporty
Japanese,35,Male,Single,Medium,Sporty
American,33,Male,Married,Large,Family
Japanese,33,Female,Single,Small,Sporty
Japanese,29,Male,Married,Small,Family
Japanese,23,Male,Single,Small,Sporty
Japanese,35,Male,Single,Small,Sporty
Japanese,39,Male,Married,Medium,Work
American,33,Male,Married,Medium,Family
Japanese,30,Male,Single,Small,Family
Japanese,26,Female,Married,Medium,Sporty
American,36,Female,Married,Large,Family
Japanese,25,Female,Married,Medium,Family
Japanese,23,Male,Single,Medium,Sporty
Japanese,34,Male,Married,Small,Work
American,31,Female,Married,Large,Family
American,39,Female,Married,Medium,Family
American,41,Female,Married,Small,Work
American,39,Female,Married,Medium,Sporty
American,34,Male,Married,Large,Family
American,32,Female,Single,Medium,Family
American,29,Female,Married,Medium,Family
Japanese,23,Female,Single,Small,Sporty
American,41,Male,Married,Large,Family
American,27,Female,Married,Medium,Family
Japanese,26,Male,Single,Small,Sporty
Japanese,28,Male,Married,Medium,Work
Japanese,37,Female,Married,Small,Family
American,39,Female,Single,Medium,Family
Japanese,32,Male,Married,Medium,Work
American,34,Male,Married,Large,Family
Japanese,29,Female,Single,Small,Family
Japanese,25,Male,Single,Small,Sporty
Japanese,30,Female,Married,Small,Family
American,29,Female,Married,Large,Work
Japanese,32,Male,Married,Large,Family
Japanese,31,Female,Married,Small,Work
American,22,Male,Single,Small,Sporty
Japanese,31,Male,Married,Small,Family
American,40,Female,Married,Medium,Family
American,26,Female,Married,Small,Family
American,35,Male,Married,Small,Family
Japanese,26,Male,Single,Small,Sporty
Japanese,29,Female,Married,Medium,Family
Japanese,26,Male,Single,Small,Work
Japanese,31,Female,Single,Medium,Family
Japanese,25,Male,Married,Small,Sporty
American,45,Female,Single,Medium,Family
Japanese,33,Female,Single,Small,Sporty
Japanese,38,Male,Single,Small,Family
Japanese,25,Male,Single,Medium,Sporty
American,32,Male,Married,Medium,Family
Japanese,24,Male,Single,Small,Sporty
Japanese,33,Female,Married,Medium,Family
Japanese,33,Male,Married,Medium,Family
Japanese,42,Female,Married,Medium,Family
American,27,Female,Married,Medium,Family
Japanese,33,Male,Married,Small,Work
Japanese,33,Female,Single,Medium,Family
American,32,Male,Married,Medium,Family
American,28,Male,Single,Small,Work
Japanese,30,Female,Single,Medium,Sporty
Japanese,27,Male,Single,Small,Sporty
